r,l,rm
1.0,86,../experiments/water/reward_machines/t3.txt
1.0,151,../experiments/water/reward_machines/t4.txt
1.0,166,../experiments/water/reward_machines/t5.txt
1.0,482,../experiments/water/reward_machines/t6.txt
1.0,181,../experiments/water/reward_machines/t7.txt
1.0,294,../experiments/water/reward_machines/t8.txt
0.0,8,../experiments/water/reward_machines/t9.txt
0.0,8,../experiments/water/reward_machines/t10.txt
1.0,329,../experiments/water/reward_machines/t1.txt
1.0,94,../experiments/water/reward_machines/t2.txt
1.0,106,../experiments/water/reward_machines/t3.txt
1.0,241,../experiments/water/reward_machines/t4.txt
1.0,77,../experiments/water/reward_machines/t5.txt
1.0,291,../experiments/water/reward_machines/t6.txt
1.0,269,../experiments/water/reward_machines/t7.txt
1.0,341,../experiments/water/reward_machines/t8.txt
0.0,69,../experiments/water/reward_machines/t9.txt
0.0,45,../experiments/water/reward_machines/t10.txt
1.0,70,../experiments/water/reward_machines/t1.txt
1.0,391,../experiments/water/reward_machines/t2.txt
1.0,83,../experiments/water/reward_machines/t3.txt
1.0,176,../experiments/water/reward_machines/t4.txt
1.0,209,../experiments/water/reward_machines/t5.txt
1.0,179,../experiments/water/reward_machines/t6.txt
1.0,225,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,15,../experiments/water/reward_machines/t9.txt
0.0,23,../experiments/water/reward_machines/t10.txt
1.0,204,../experiments/water/reward_machines/t1.txt
1.0,133,../experiments/water/reward_machines/t2.txt
1.0,59,../experiments/water/reward_machines/t3.txt
1.0,284,../experiments/water/reward_machines/t4.txt
1.0,334,../experiments/water/reward_machines/t5.txt
1.0,124,../experiments/water/reward_machines/t6.txt
1.0,133,../experiments/water/reward_machines/t7.txt
1.0,472,../experiments/water/reward_machines/t8.txt
0.0,117,../experiments/water/reward_machines/t9.txt
0.0,7,../experiments/water/reward_machines/t10.txt
1.0,66,../experiments/water/reward_machines/t1.txt
1.0,23,../experiments/water/reward_machines/t2.txt
1.0,90,../experiments/water/reward_machines/t3.txt
1.0,292,../experiments/water/reward_machines/t4.txt
1.0,115,../experiments/water/reward_machines/t5.txt
1.0,217,../experiments/water/reward_machines/t6.txt
1.0,182,../experiments/water/reward_machines/t7.txt
1.0,394,../experiments/water/reward_machines/t8.txt
0.0,8,../experiments/water/reward_machines/t9.txt
0.0,17,../experiments/water/reward_machines/t10.txt
1.0,91,../experiments/water/reward_machines/t1.txt
1.0,376,../experiments/water/reward_machines/t2.txt
1.0,69,../experiments/water/reward_machines/t3.txt
1.0,162,../experiments/water/reward_machines/t4.txt
1.0,127,../experiments/water/reward_machines/t5.txt
1.0,212,../experiments/water/reward_machines/t6.txt
1.0,380,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,82,../experiments/water/reward_machines/t9.txt
0.0,9,../experiments/water/reward_machines/t10.txt
1.0,140,../experiments/water/reward_machines/t1.txt
1.0,95,../experiments/water/reward_machines/t2.txt
1.0,88,../experiments/water/reward_machines/t3.txt
1.0,295,../experiments/water/reward_machines/t4.txt
1.0,363,../experiments/water/reward_machines/t5.txt
1.0,206,../experiments/water/reward_machines/t6.txt
1.0,197,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,23,../experiments/water/reward_machines/t9.txt
0.0,64,../experiments/water/reward_machines/t10.txt
1.0,73,../experiments/water/reward_machines/t1.txt
1.0,89,../experiments/water/reward_machines/t2.txt
1.0,63,../experiments/water/reward_machines/t3.txt
1.0,58,../experiments/water/reward_machines/t4.txt
1.0,185,../experiments/water/reward_machines/t5.txt
1.0,72,../experiments/water/reward_machines/t6.txt
1.0,236,../experiments/water/reward_machines/t7.txt
1.0,394,../experiments/water/reward_machines/t8.txt
0.0,21,../experiments/water/reward_machines/t9.txt
0.0,59,../experiments/water/reward_machines/t10.txt
1.0,154,../experiments/water/reward_machines/t1.txt
1.0,382,../experiments/water/reward_machines/t2.txt
1.0,57,../experiments/water/reward_machines/t3.txt
1.0,377,../experiments/water/reward_machines/t4.txt
1.0,154,../experiments/water/reward_machines/t5.txt
1.0,379,../experiments/water/reward_machines/t6.txt
1.0,417,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,6,../experiments/water/reward_machines/t9.txt
0.0,60,../experiments/water/reward_machines/t10.txt
1.0,132,../experiments/water/reward_machines/t1.txt
1.0,95,../experiments/water/reward_machines/t2.txt
1.0,149,../experiments/water/reward_machines/t3.txt
1.0,248,../experiments/water/reward_machines/t4.txt
1.0,235,../experiments/water/reward_machines/t5.txt
1.0,252,../experiments/water/reward_machines/t6.txt
1.0,215,../experiments/water/reward_machines/t7.txt
1.0,305,../experiments/water/reward_machines/t8.txt
0.0,28,../experiments/water/reward_machines/t9.txt
0.0,143,../experiments/water/reward_machines/t10.txt
1.0,272,../experiments/water/reward_machines/t1.txt
1.0,163,../experiments/water/reward_machines/t2.txt
1.0,58,../experiments/water/reward_machines/t3.txt
1.0,133,../experiments/water/reward_machines/t4.txt
1.0,272,../experiments/water/reward_machines/t5.txt
1.0,281,../experiments/water/reward_machines/t6.txt
1.0,459,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,62,../experiments/water/reward_machines/t9.txt
0.0,8,../experiments/water/reward_machines/t10.txt
1.0,173,../experiments/water/reward_machines/t1.txt
1.0,186,../experiments/water/reward_machines/t2.txt
1.0,62,../experiments/water/reward_machines/t3.txt
1.0,446,../experiments/water/reward_machines/t4.txt
1.0,352,../experiments/water/reward_machines/t5.txt
1.0,178,../experiments/water/reward_machines/t6.txt
1.0,176,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,19,../experiments/water/reward_machines/t9.txt
0.0,28,../experiments/water/reward_machines/t10.txt
1.0,131,../experiments/water/reward_machines/t1.txt
1.0,92,../experiments/water/reward_machines/t2.txt
1.0,75,../experiments/water/reward_machines/t3.txt
1.0,275,../experiments/water/reward_machines/t4.txt
1.0,336,../experiments/water/reward_machines/t5.txt
1.0,253,../experiments/water/reward_machines/t6.txt
1.0,134,../experiments/water/reward_machines/t7.txt
